Unobserved Bird,Latitude,Longitude,taxon_id,Common name
Edolisoma tricolor,-9.05185,161.00157,1585825,Malaita cicadabird
Turdus heinrothi,-1.421079,149.604387,1574884,Bismarck Island-Thrush
Turdus mindorensis,12.943257,121.123912,1574867,Mindoro Island-Thrush
Rallicula mayri,-3.312321,141.70648,1506044,Mayr's Forest Rail
Centropus steerii,12.831074,120.91151,1675,Black-hooded Coucal
Neomorphus pucheranii,1.227,-70.228,1823,Red-billed Ground-Cuckoo
Oriolus cruentus,5.766327,116.343216,7872,Javan Oriole
Ailuroedus jobiensis,-5.755817,145.18253,512106,Northern Catbird
Anthus ruficollis,-3.361338,126.535675,1429029,Madanga
Gallinula silvestris,6.41,3.3,381,Makira Moorhen
Chlorostilbon olivaresi,-0.630345,-72.419556,6093,Chiribiquete Emerald
Campylopterus duidae,1.571449,-62.095627,6006,Buff-breasted Sabrewing
Eriocnemis mirabilis,2.568223,-76.933788,6283,Colorful Puffleg
Eriocnemis isabellae,2.278798,-77.350315,72841,Gorgeted Puffleg
Eriocnemis godini,0.5385,-77.193889,6285,Turquoise-throated Puffleg
Hylonympha macrocerca,10.703566,-62.63066,6514,Scissor-tailed Hummingbird
Nannopsittacus nigrifrons,-3.604509,141.592832,1584076,Black-fronted Fig-Parrot
Gallicolumba menagei,5.243023,120.121622,3156,Sulu Bleeding-heart
Chondrohierax wilsonii,20.278455,-75.175481,1423404,Cuban Kite
Cacomantis addendus,-9.652329,160.358321,1583424,Solomons Brush Cuckoo
Cacomantis blandus,-2.042008,147.037957,1583425,Manus Brush Cuckoo
Copsychus omissus,-7.961825,110.42317,1584564,Larwo shama
Coracina guillemardi,5.235951,120.044237,1588676,Sulu Cuckooshrike
Cyornis ocularis,5.1353,119.8622,1586243,Sulu Jungle Flycatcher
Myzomela rubrobrunnea,-0.814255,135.567423,1586627,Biak Myzomela
Phyllastrephus viridiceps,-8.28,15.18,1587302,Angola greenbul
Symposiachrus malaitae,-9.046426,160.971357,1578888,Malaita Monarch
Symposiachrus nigrotectus,-7.72546,156.626348,1585031,Vella Lavella Monarch
Tachyspiza brachyura,-5.55199,151.064822,1582868,New Britain Sparrowhawk
Tityra leucura,-7.811642,-60.473749,1583639,White-tailed Tityra
Turdus bougainvillei,-6.030484,155.108351,1574886,Bougainville Island-Thrush
Turdus pritzbueri,-19.433771,169.316836,1574891,White-headed Island-Thrush
Myiagra hebetior,-1.412367,149.610336,8067,Mussau flycatcher
Copsychus nigricauda,-6.900608,115.298006,1584563,Kangean shama
Zosterops ficedulinus,1.678642,7.443871,204450,Príncipe White-eye
Tachyspiza butleri,7.936171,93.384742,1581938,Nicobar Sparrowhawk
Chrysocorythus mindanensis,8.15,125.05,1586867,Mindanao serin
Turdus kulambangrae,-9.579724,160.202504,1574888,Solomons Island-Thrush
Meliphaga montana,-4.989168,145.469938,12279,Forest Honeyeater
Turdus xanthopus,-20.049327,163.813038,1574892,New Caledonian Island-Thrush
Meliphaga mimikae,-6.496142,144.820788,12296,Mottled Honeyeater
Copsychus barbouri,2.227735,118.57999,1584477,Maratua Shama
Cincloramphus llaneae,-6.3162,155.5203,980139,Bougainville Thicketbird
Vini meeki,-5.7762,154.8879,1289570,Meek's Lorikeet
